dx,NX,imposed_poro,k_in_micron2,effective_poro
0.0000010000, 200, 0.909303, 24.464867, 0.906700
0.0000010000, 200, 0.892805, 25.309850, 0.892700
0.0000010000, 200, 0.906801, 22.255608, 0.908650
0.0000010000, 200, 0.893537, 22.426083, 0.891800
0.0000010000, 200, 0.903191, 24.993370, 0.906025
0.0000010000, 200, 0.891553, 12.314119, 0.891300
0.0000010000, 200, 0.905689, 54.235805, 0.905100
0.0000010000, 200, 0.896690, 28.941490, 0.899075
0.0000010000, 200, 0.904337, 22.744296, 0.908775
0.0000010000, 200, 0.899879, 47.367183, 0.898900
0.0000010000, 200, 0.896544, 28.915528, 0.895225
